Run   CuttingSpeed   FeedRate   Env   Material      Insert   Response
37    186            0.14       HPC   17CrNiMo6      SNMG     628
29    186            0.18       HPC   17CrNiMo6      SNMG     680
94    186            0.22       HPC   17CrNiMo6      SNMG     644
11    266            0.10       HPC   17CrNiMo6      SNMG     710
76    266            0.14       HPC   17CrNiMo6      SNMG     651
97    266            0.18       HPC   17CrNiMo6      SNMG     738
107   266            0.22       HPC   17CrNiMo6      SNMG     701
139   93             0.10       Dry   42CrMo4        SNMG     671
190   93             0.14       Dry   42CrMo4        SNMG     688
79    93             0.18       Dry   42CrMo4        SNMG     707
177   93             0.22       Dry   42CrMo4        SNMG     713
49    133            0.10       Dry   42CrMo4        SNMG     692
101   133            0.14       Dry   42CrMo4        SNMG     732
172   133            0.18       Dry   42CrMo4        SNMG     736
52    133            0.22       Dry   42CrMo4        SNMG     749
75    186            0.10       Dry   42CrMo4        SNMG     712
168   186            0.14       Dry   42CrMo4        SNMG     746
181   186            0.18       Dry   42CrMo4        SNMG     767
140   186            0.22       Dry   42CrMo4        SNMG     786
119   266            0.10       Dry   42CrMo4        SNMG     739
20    266            0.14       Dry   42CrMo4        SNMG     769
134   266            0.18       Dry   42CrMo4        SNMG     799
95    266            0.22       Dry   42CrMo4        SNMG     823
182   93             0.10       HPC   42CrMo4        SNMG     510
69    93             0.14       HPC   42CrMo4        SNMG     523
68    93             0.18       HPC   42CrMo4        SNMG     573
14    93             0.22       HPC   42CrMo4        SNMG     613
51    133            0.10       HPC   42CrMo4        SNMG     547
78    133            0.14       HPC   42CrMo4        SNMG     586
148   133            0.18       HPC   42CrMo4        SNMG     633
31    133            0.22       HPC   42CrMo4        SNMG     667
155   186            0.10       HPC   42CrMo4        SNMG     577
39    186            0.14       HPC   42CrMo4        SNMG     619
47    186            0.18       HPC   42CrMo4        SNMG     667
176   186            0.22       HPC   42CrMo4        SNMG     715
48    266            0.10       HPC   42CrMo4        SNMG     621
137   266            0.14       HPC   42CrMo4        SNMG     669
44    266            0.18       HPC   42CrMo4        SNMG     727
112   266            0.22       HPC   42CrMo4        SNMG     757
167   93             0.10       Dry   C-60          SNMM     565
111   93             0.14       Dry   C-60          SNMM     641
36    93             0.18       Dry   C-60          SNMM     682
92    93             0.22       Dry   C-60          SNMM     691
7     133            0.10       Dry   C-60          SNMM     618
188   133            0.14       Dry   C-60          SNMM     670
149   133            0.18       Dry   C-60          SNMM     697
117   133            0.22       Dry   C-60          SNMM     713
45    186            0.10       Dry   C-60          SNMM     680
50    186            0.14       Dry   C-60          SNMM     744
192   186            0.18       Dry   C-60          SNMM     757
56    186            0.22       Dry   C-60          SNMM     790
102   266            0.10       Dry   C-60          SNMM     727
136   266            0.14       Dry   C-60          SNMM     788
63    266            0.18       Dry   C-60          SNMM     813
15    266            0.22       Dry   C-60          SNMM     822
99    93             0.10       HPC   C-60          SNMM     470
175   93             0.14       HPC   C-60          SNMM     540
170   93             0.18       HPC   C-60          SNMM     566
41    93             0.22       HPC   C-60          SNMM     578
27    133            0.10       HPC   C-60          SNMM     526
32    133            0.14       HPC   C-60          SNMM     568
67    133            0.18       HPC   C-60          SNMM     587
173   133            0.22       HPC   C-60          SNMM     634
55    186            0.10       HPC   C-60          SNMM     582
88    186            0.14       HPC   C-60          SNMM     638
163   186            0.18       HPC   C-60          SNMM     681
178   186            0.22       HPC   C-60          SNMM     703
116   266            0.10       HPC   C-60          SNMM     631
8     266            0.14       HPC   C-60          SNMM     697
103   266            0.18       HPC   C-60          SNMM     711
62    266            0.22       HPC   C-60          SNMM     755
189   93             0.10       Dry   17CrNiMo6      SNMM     645
61    93             0.14       Dry   17CrNiMo6      SNMM     672
33    93             0.18       Dry   17CrNiMo6      SNMM     709
180   93             0.22       Dry   17CrNiMo6      SNMM     728
72    133            0.10       Dry   17CrNiMo6      SNMM     707
158   133            0.14       Dry   17CrNiMo6      SNMM     741
143   133            0.18       Dry   17CrNiMo6      SNMM     760
96    133            0.22       Dry   17CrNiMo6      SNMM     777
21    186            0.10       Dry   17CrNiMo6      SNMM     771
26    186            0.14       Dry   17CrNiMo6      SNMM     803
93    186            0.18       Dry   17CrNiMo6      SNMM     812
141   186            0.22       Dry   17CrNiMo6      SNMM     826
9     266            0.10       Dry   17CrNiMo6      SNMM     823
3     266            0.14       Dry   17CrNiMo6      SNMM     846
121   266            0.18       Dry   17CrNiMo6      SNMM     858
169   266            0.22       Dry   17CrNiMo6      SNMM     865
132   93             0.10       HPC   17CrNiMo6      SNMM     522
24    93             0.14       HPC   17CrNiMo6      SNMM     551
187   93             0.18       HPC   17CrNiMo6      SNMM     588
147   93             0.22       HPC   17CrNiMo6      SNMM     612
18    133            0.10       HPC   17CrNiMo6      SNMM     573
2     133            0.14       HPC   17CrNiMo6      SNMM     600
66    133            0.18       HPC   17CrNiMo6      SNMM     638
38    133            0.22       HPC   17CrNiMo6      SNMM     660
57    186            0.10       HPC   17CrNiMo6      SNMM     655
28    186            0.14       HPC   17CrNiMo6      SNMM     675
129   186            0.18       HPC   17CrNiMo6      SNMM     690
150   186            0.22       HPC   17CrNiMo6      SNMM     743
82    266            0.10       HPC   17CrNiMo6      SNMM     691
159   266            0.14       HPC   17CrNiMo6      SNMM     728
35    266            0.18       HPC   17CrNiMo6      SNMM     746
184   266            0.22       HPC   17CrNiMo6      SNMM     770
30    93             0.10       Dry   42CrMo4        SNMM     673
91    93             0.14       Dry   42CrMo4        SNMM     686
151   93             0.18       Dry   42CrMo4        SNMM     700
108   93             0.22       Dry   42CrMo4        SNMM     713
161   133            0.10       Dry   42CrMo4        SNMM     703
179   133            0.14       Dry   42CrMo4        SNMM     720
42    133            0.18       Dry   42CrMo4        SNMM     735
85    133            0.22       Dry   42CrMo4        SNMM     745
89    186            0.10       Dry   42CrMo4        SNMM     736
77    186            0.14       Dry   42CrMo4        SNMM     
